Date,Medicine name,Form of medicine,Medicine Description,Medicine Class,Qty,Whole sale pharmacy,Exp date,MRP,buying disc (%),final buying price,Pharma Company,Profit margin
04/07/2024,Atarax 10,tablet,used to treat anxiety and helps to get relaxed before or after surgery.,Anxiolytics,1,M/S Jeevan Deep,08/25,52.5,22.40,40.74,Dr Reddy's Laboratories Ltd,0.224
04/07/2024,Calpol 500 mg,tablet,Pain and fever relief.,NSAIDs / Analgesics,3,M/S Jeevan Deep,01/26,14.95,22.41,11.6,Glaxo SmithKline Pharmaceuticals Ltd,0.2240802676
04/07/2024,Zyrcold syp,syrup,treats cough.,Cough Syrup,1,M/S Jeevan Deep,06/25,105,21.83,82.08,Dr Reddy's Laboratories Ltd,0.2182857143
04/07/2024,Asthakind DX,syrup,"suppresses dry, hacking coughs and allergic symptoms like sneezing, runny nose.",Cold & Allergy Medicine,2,M/S Jeevan Deep,12/25,102.5,30.16,71.59,Mankind Pharma Ltd,0.3015609756
04/07/2024,Chericof,syrup,used in the treatment of common cold and cough.,Cold & Allergy Medicine,1,M/S Jeevan Deep,10/24,107,22.39,83.04,Sun Pharmaceutical Industries Ltd,0.2239252336
04/07/2024,Azithral XL,syrup,effective antibiotic that is used for the treatment of many bacterial infections.,Antibiotics,1,M/S Jeevan Deep,01/26,114.24,22.40,88.65,Alembic Pharmaceuticals Ltd,0.2240021008
04/07/2024,Montas-L,tablet,"treats allergic symptoms like runny nose, sneezing.",Cold & Allergy Medicine,5,M/S Jeevan Deep,12/25,151,86.75,20,Intas Pharmaceuticals Ltd,0.8675496689
04/07/2024,Cypon Syp,syrup,treats loss of appetitte.,Appetite Stimulant,1,M/S Jeevan Deep,01/27,124,30.16,86.6,Geno Pharmaceuticals Ltd,0.3016129032
04/07/2024,Pan MPS syp,syrup,"treats acidity, heartburn and stomach ulcers.",Antacid,1,M/S Jeevan Deep,03/27,114,35.33,73.72,Alkem Laboratories Ltd,0.3533333333
04/07/2024,Cepodem 100,syrup,kills the infection-causing bacteria in the body.,Antibiotics,1,M/S Jeevan Deep,12/24,189,30.15,132.01,Sun Pharmaceutical Industries Ltd,0.3015343915
04/07/2024,Zofer MD,tablet,used to control nausea and vomiting due to certain medical conditions.,Antiemetics,2,M/S Jeevan Deep,12/25,57.45,22.40,44.58,Sun Pharmaceutical Industries Ltd,0.2240208877
04/07/2024,Stemetil injection,injection,used in the treatment of nausea and vomiting caused by various conditions.,Antiemetics,4,M/S Jeevan Deep,02/27,24.78,22.36,19.24,Abbott,0.2235673931
04/07/2024,Emty,syrup,used to treat constipation.,Laxatives,1,M/S Jeevan Deep,03/26,129.15,22.38,100.25,Alkem Laboratories Ltd,0.2237708091
06/08/2024,Alkasol,syrup,used in the treatment of gout and kidney stones.,NSAIDs / Analgesics,1,Zaman Medicine Agency,11/26,349.9,22.40,271.53,Stadmed Pvt Ltd,0.2239782795
06/08/2024,Clavam,tablet,used in the treatment of Bacterial infections.,Antibiotics,1,Zaman Medicine Agency,09/25,204.94,35.33,132.54,Alkem Laboratories Ltd,0.353274129
06/08/2024,Stemetil MD tab,tablet,"used to treat nausea, vomiting, and dizziness.",Antiemetics,1,Zaman Medicine Agency,08/25,172.7,22.40,134.02,Abbott,0.2239722061
06/08/2024,Veloz D,tablet,Reduces acidity and reflux.,Antacid,1,Zaman Medicine Agency,12/25,225,22.23,174.98,Torrent Pharmaceuticals Ltd,0.2223111111
06/08/2024,Ondem syp,syrup,Treats nausea and vomiting.,Antiemetics,2,Zaman Medicine Agency,04/26,42.19,30.13,29.48,Alkem Laboratories Ltd,0.3012562219
06/08/2024,Taxim OF,tablet,used to treat various types of bacterial infections.,Antibiotics,1,Zaman Medicine Agency,01/26,175,30.15,122.23,Alkem Laboratories Ltd,0.3015428571
06/08/2024,Moxclav BD syp ,syrup,"helps treat bacterial infections of the ear, nose, throat.",Antibiotics,2,Zaman Medicine Agency,10/25,67.53,22.38,52.42,Sun Pharmaceutical Industries Ltd,0.2237524063
06/08/2024,Karpin,lotion,treats fungal infection.,Antifungals,1,Zaman Medicine Agency,12/25,66,21.61,51.74,Deys Medical,0.2160606061
06/08/2024,Volini active,cream,"relieves pain in back, knee, joint.",NSAIDs / Analgesics,10,Zaman Medicine Agency,02/26,10,29.40,7.06,Sun Pharmaceutical Industries Ltd,0.294
09/06/2024,Pan D,capsule,Reduces acidity and reflux.,Antacid,1,Sarkar Medicine Agency,01/26,231,23.20,177.4,Alkem Laboratories Ltd,0.232034632
09/06/2024,R Loc,tablet,Reduces stomach acidity.,Antacid,5,Sarkar Medicine Agency,02/26,45,33.31,30.01,Zydus Cadila,0.3331111111
09/06/2024,Omez DSR,capsule,Reduces acidity and reflux.,Antacid,1,Sarkar Medicine Agency,05/25,204,23.01,157.05,Dr Reddy's Laboratories Ltd,0.2301470588
09/06/2024,Cypon Syp,syrup,appetite stimulant.,Appetite Stimulant,1,Sarkar Medicine Agency,02/27,124,30.87,85.72,Geno Pharmaceuticals Ltd,0.3087096774
09/06/2024,Famocid 40 mg,tablet,used to treat acid reflux.,Antacid,6,Sarkar Medicine Agency,11/26,10.5,23.24,8.06,Sun Pharmaceutical Industries Ltd,0.2323809524
11/05/2024,Duphalac,syrup,"used to treat constipation, intestine preperation before any surgery.",Laxatives,1,Sarkar Medicine Agency,02/26,193.72,20.00,154.98,Abbott,0.1999793516
11/05/2024,Colimex,syrup,"treats stomach pain, bloating and abdominal cramps.",Antispasmodic,1,Sarkar Medicine Agency,11/26,61,20.02,48.79,Wallace Pharmaceuticals Pvt Ltd,0.2001639344
21/05/2024,Criz-M,tablet,"treats allergic symptoms such as runny nose, sneezing.",Cold & Allergy Medicine,2,Sarkar Medicine Agency,12/25,173,27.99,124.57,Alkem Laboratories Ltd,0.2799421965
21/05/2024,Hemfer,syrup,treats biotin deficiency and manage the formation of red blood cells and nerve tissues.,Nutritional supplement,1,Sarkar Medicine Agency,04/25,178,36.00,113.92,Alkem Laboratories Ltd,0.36
21/05/2024,Pan D,capsule,Reduces acidity and reflux.,Antacid,1,Sarkar Medicine Agency,12/25,210,23.20,161.29,Alkem Laboratories Ltd,0.231952381
21/05/2024,Taxim OF,tablet,Treats various types of bacterial infections.,Antibiotics,1,Sarkar Medicine Agency,12/25,175,28.00,126,Alkem Laboratories Ltd,0.28
21/05/2024,Foracort,inhaler,treats asthma and chronic pulmonary obstructive disease.,Cold & Allergy Medicine,1,Sarkar Medicine Agency,12/26,510.72,20.00,408.58,Cipla Ltd,0.1999921679
21/05/2024,Zerodol SP,tablet,"relieves pain, inflammation and swelling.",NSAIDs / Analgesics,1,Sarkar Medicine Agency,03/26,130.1,19.99,104.09,Ipca Laboratories Ltd,0.199923136
21/05/2024,Augpen HS,syrup,"treats bacterial infections of the ear, nose and throat.",Antibiotics,2,Sarkar Medicine Agency,05/25,67.87,27.98,48.88,Zuventus Healthcare Ltd,0.2797996169
21/05/2024,Moxclav DS,syrup,"treats bacterial infections of the ear, nose and throat.",Antibiotics,1,Sarkar Medicine Agency,12/25,159,33.33,106.01,Sun Pharmaceutical Industries Ltd,0.3332704403
21/05/2024,Nasoclear drop,drop,relieves congestion and dry stuffy nose.,Cold & Allergy Medicine,2,Sarkar Medicine Agency,12/26,64.35,26.65,47.2,Zydus Cadila,0.2665112665
16/05/2024,Supracal,tablet,nutritional supplement and improves vit D.,Nutritional supplement,1,Sarkar Medicine Agency,09/25,197,20.01,157.59,Pharmed Ltd,0.2000507614
16/05/2024,Predmet 8,tablet,"treats different inflammatory and allergic conditions including arthritis, lupus, psoriasis, etc.",Steroids,1,Sarkar Medicine Agency,12/26,104,19.99,83.21,Sun Pharmaceutical Industries Ltd,0.1999038462
16/05/2024,Nexpro-40,tablet,"relieves the discomfort caused by excessive stomach acid, such as burning sensations.",Antacid,1,Sarkar Medicine Agency,01/26,174,19.99,139.21,Torrent Pharmaceuticals Ltd,0.1999425287
28/07/2024,Moxiford eye drop,drop,treats bacterial eye infections.,Antibiotics,3,Zaman Medicine Agency,01/26,66,69.70,20,Leeford Healthcare Ltd,0.696969697
28/07/2024,Tormoxin Clave,tablet,"treats bacterial infections of the ear, nose and throat.",Antibiotics,3,Zaman Medicine Agency,11/25,220,63.64,80,Torrent Pharmaceuticals Ltd,0.6363636364
28/07/2024,Famocid 20 mg,tablet,Reduces amount of acid in stomach.,Antacid,6,Zaman Medicine Agency,02/27,5.9,22.37,4.58,Sun Pharmaceutical Industries Ltd,0.2237288136
28/07/2024,Glyciphase 500,tablet,treats type 2 diabetes.,Antidiabetic Medications,1,Zaman Medicine Agency,10/26,41.65,22.40,32.32,Franco-Indian Pharmaceuticals Pvt Ltd,0.2240096038
03/04/2024,Rexipra Lite,tablet,treats anxiety disorder.,Anxiolytics,1,Haque Medicine Supply,10/25,178,22.40,138.13,Intas Pharmaceuticals Ltd,0.223988764
03/04/2024,Diovol mango flavour,syrup,addtional health supplement.,Nutritional supplement,1,Haque Medicine Supply,09/26,150.6,22.40,116.86,Wallace Pharmaceuticals Pvt Ltd,0.2240371846
03/04/2024,Pan L,capsule,Treats acid reflux and heartburn.,Antacid,1,Haque Medicine Supply,02/25,262,22.40,203.31,Alkem Laboratories Ltd,0.2240076336
03/04/2024,Vertin 16,tablet,treats a disorder of the inner ear.,Ear Care,1,Haque Medicine Supply,08/26,325.34,22.40,252.45,Abbott,0.2240425401
03/04/2024,Stemetil MD tab,tablet,"used to treat nausea, vomiting, and dizziness.",Antiemetics,1,Haque Medicine Supply,04/25,172.7,22.40,134.01,Abbott,0.22403011
13/12/2023,Providac,capsule,works as probiotic.,Nutritional supplement,1,Mazumdar Enterprise,01/25,437.65,28.57,312.61,Zydus Cadila,0.2857077573
13/12/2023,Stamlo,tablet,"treatment of angina, high blood pressure etc.",Antihypertensives,1,Mazumdar Enterprise,08/26,83.9,28.57,59.93,Dr Reddy's Laboratories Ltd,0.2856972586
13/12/2023,Vegaz OD,tablet,treats a type of bowel disease known as ulcerative colitis.,Gastrointestinal Agents,1,Mazumdar Enterprise,06/25,412.5,28.57,294.64,Dr Reddy's Laboratories Ltd,0.2857212121
13/12/2023,Raciraft,syrup,"treats acidity, heartburn and stomach ulcers.",Antacid,1,Rup Enterprise,08/25,199,28.57,142.14,Sun Pharmaceutical Industries Ltd,0.2857286432
06/11/2023,Cetzine,tablet,"relieves the symptoms of allergy. It is used to relieve runny nose, sneezing etc",Cold & Allergy Medicine,2,B.S Medical Hall,07/26,31.5,19.97,25.21,Dr Reddy's Laboratories Ltd,0.1996825397
06/11/2023,Citizd,tablet,"relieves the symptoms of allergy. It is used to relieve runny nose, sneezing etc",Cold & Allergy Medicine,10,B.S Medical Hall,06/25,16.6,87.95,2,Medley Pharmaceuticals,0.8795180723
06/11/2023,Thyrox 50,tablet,used to treat hypothyroidism.,Thyroid Hormone Replacement,1,B.S Medical Hall,01/25,123.64,20.00,98.91,Macleods Pharmaceuticals Pvt Ltd,0.200016176
06/11/2023,KT 5 derm,cream,treats skin infections caused by microorganisms such as bacteria and fungi,Antifungals,2,B.S Medical Hall,01/25,105,84.76,16,Laborate Pharmaceuticals India Ltd,0.8476190476
06/11/2023,Neo Clobenate GM,cream,treats skin infections caused by microorganisms such as bacteria and fungi.,Antifungals,2,B.S Medical Hall,04/25,76.8,86.98,10,Ind Swift Laboratories Ltd,0.8697916667
06/11/2023,Cafragin,tablet,used to prevent and treat migraine.,Antimigraine Agents,3,B.S Medical Hall,01/25,50,42.78,28.61,Agrosaf Pharmaceuticals,0.4278
06/11/2023,Anafortan,syrup,treats abdominal pain.,NSAIDs / Analgesics,1,B.S Medical Hall,10/24,101.73,20.00,81.38,Abbott,0.2000393198
06/11/2023,Drep ear drop,drop,treats infections in the ear caused by bacteria and fungus.,Ear Care,1,B.S Medical Hall,01/25,92,27.24,66.94,DWD Pharmaceuticals Ltd,0.2723913043
06/11/2023,Glynase MF,tablet,treats type 2 diabetes mellitus (DM),Antidiabetic Medications,2,B.S Medical Hall,12/24,20.35,20.00,16.28,USV Ltd,0.2
06/11/2023,Ketofly,shampoo,anti-fungal medicine used for treatment of dandruff.,Antifungals,1,B.S Medical Hall,08/24,190,63.16,70,Leeford Healthcare Ltd,0.6315789474
06/11/2023,Augmentin DDS,syrup,"an antibiotic medicine that helps treat bacterial infections of the ear, nose, throat etc.",Antibiotics,1,Zaman Medicine Agency,09/24,173,27.27,125.82,Glaxo SmithKline Pharmaceuticals Ltd,0.272716763
06/11/2023,Augmentin duo,syrup,"an antibiotic medicine that helps treat bacterial infections of the ear, nose, throat etc.",Antibiotics,2,Zaman Medicine Agency,03/24,67.2,27.26,48.88,Glaxo SmithKline Pharmaceuticals Ltd,0.2726190476
06/11/2023,Fourderm 5,cream,used for the treatment of various skin infections and inflammation caused by bacterial or fungal infection.,Antibiotics,2,Zaman Medicine Agency,01/25,56.65,77.07,12.99,Cipla Ltd,0.7706972639
06/11/2023,Fourderm 10,cream,used for the treatment of various skin infections and inflammation caused by bacterial or fungal infection.,Antibiotics,2,Zaman Medicine Agency,11/24,107.25,77.62,24,Cipla Ltd,0.7762237762
06/11/2023,Nock 2 mg,tablet,Helps in relieving the pain and inflammation.,NSAIDs / Analgesics,2,Zaman Medicine Agency,09/25,71.25,33.32,47.51,Wanbury Ltd,0.3331929825
06/11/2023,Augpen HS,syrup,"antibiotic medicine that helps treat bacterial infections of the ear, nose, throat, chest etc.",Antibiotics,2,Zaman Medicine Agency,12/24,67.54,28.00,48.63,Zuventus Healthcare Ltd,0.2799822328
06/11/2023,Atarax drops,drop,used to treat anxiety and helps to get relaxed before or after surgery.,Anxiolytics,1,Zaman Medicine Agency,07/24,69.75,20.00,55.8,Dr Reddy's Laboratories Ltd,0.2
06/11/2023,Zentel 400 mg,tablet,Deworming medicine for intestinal worms.,Anthelmintics,10,Zaman Medicine Agency,06/26,9.09,23.87,6.92,Glaxo SmithKline Pharmaceuticals Ltd,0.2387238724
06/11/2023,Omez 20 mg,capsule,"used in the treatment of Acidity,Heartburn and Acid reflux.",Antacid,2,Zaman Medicine Agency,07/26,64.2,23.19,49.31,Dr Reddy's Laboratories Ltd,0.2319314642
06/11/2023,Rantac MPS,syrup,used to treat acidity and indigestion.,Antacid,1,Zaman Medicine Agency,06/25,143.74,33.33,95.83,J B Chemicals and Pharmaceuticals Ltd,0.3333101433
13/11/2023,Dermadew baby lotion,lotion,neutral formula for gentle skin of the baby.,Infant Skin Care,1,Pal Medical Agency,04/25,140,32.20,94.92,Hegde and Hegde Pharmaceutical LLP,0.322
13/11/2023,Gaspaz,capsule,relieves heartburn and acid reflux.,Antacid,2,Pal Medical Agency,06/24,26.54,42.88,15.16,Biological E Ltd,0.428786737
13/11/2023,Augmentin duo,syrup,"an antibiotic medicine that helps treat bacterial infections of the ear, nose, throat, chest etc.",Antibiotics,1,Pal Medical Agency,10/24,67.54,35.36,43.66,Glaxo SmithKline Pharmaceuticals Ltd,0.3535682558
13/11/2023,Junior lanzol 30,tablet,"used in the treatment of Acidity, Acid reflux.",Antacid,1,Pal Medical Agency,01/25,191.63,28.57,136.88,Cipla Ltd,0.2857068309
13/11/2023,Chericof 12,syrup,"suppresses dry, hacking coughs.",Cough Syrup,1,Pal Medical Agency,09/24,107,28.57,76.43,Sun Pharmaceutical Industries Ltd,0.2857009346
13/11/2023,Decolic,drop,"treats stomach pain, bloating, and abdominal cramps, and pain associated with excessive acidity.",Antacid,1,Pal Medical Agency,05/27,73,28.58,52.14,Kontest Chemicals Ltd,0.2857534247
10/11/2023,Gelusil MPS,liquid,"treats Acidity, Hurtburns, Gas",Antacid,1,Pal Medical Agency,05/24,139.13,35.71,89.44,Pfizer Ltd,0.3571479911
10/11/2023,Liv 52 DS,syrup,maintains liver health,Nutritional supplement,1,Pal Medical Agency,11/25,275,31.24,189.1,Himalaya Wellness Company,0.3123636364
10/11/2023,Lupidine,liquid,"an antiseptic and disinfectant that treats and prevents infections in the skin, wounds, and mouth",Antiseptics,1,Pal Medical Agency,03/25,48.15,52.36,22.94,Lupin Ltd,0.5235721703
10/11/2023,Duphalac,syrup,stool softener,Laxatives,1,Pal Medical Agency,03/25,193.72,23.80,147.61,Abbott,0.2380239521
10/11/2023,Livercool UD,tablet,reduces the amount of cholesterol in the blood and helps dissolve gallbladder stones,Gastrointestinal Agents,1,Pal Medical Agency,01/25,350,23.81,266.67,Therapia Sanjeevani,0.2380857143
10/11/2023,Neurobion forte,tablet,"prevents numbness, tinging sensations in palm and feet.",Neuropathy Agents,1,Pal Medical Agency,10/24,38.1,24.96,28.59,Procter & Gamble Health Ltd,0.2496062992
10/11/2023,Digene (O),tablet,"relieves from acidity and its symptoms such as heartburn, stomach discomfort.",Antacid,3,Pal Medical Agency,10/25,24.14,35.58,15.55,Abbott,0.3558409279
16/11/2023,Cheri ,syrup,"provides essential nutrients, including iron, vitamin B12, and folic acid.",Nutritional supplement,1,Pal Medical Agency,06/24,180,45.06,98.9,Indchemie Health Specialities Pvt Ltd,0.4505555556
16/11/2023,Cepodem XP 325,tablet,This medication is used to treat bacterial infection.,Antibiotics,1,Pal Medical Agency,07/24,364,28.57,260,Sun Pharmaceutical Industries Ltd,0.2857142857
16/11/2023,Ceftum 500,capsule,antibiotic medicine used to treat bacterial infections in body.,Antibiotics,2,Pal Medical Agency,06/25,230.14,28.57,164.39,Glaxo SmithKline Pharmaceuticals Ltd,0.2856956635
16/11/2023,Gabapin Me,tablet,used for the treatment of neuropathic pain.,Neuropathy Agents,2,Pal Medical Agency,11/24,327,28.57,233.58,Intas Pharmaceuticals Ltd,0.2856880734
16/11/2023,Rabelin D,capsule,used to treat gastroesophageal reflux disease (Acid reflux).,Antacid,2,Pal Medical Agency,11/24,102,28.57,72.86,Linux Laboratories,0.2856862745
16/11/2023,Lasilactone 50,tablet,"treats congestive heart failure, nephrotic syndrome, ascites associated with liver cirrhosis and high BP. ",Antihypertensives,2,Pal Medical Agency,11/25,58.94,28.57,42.1,Sanofi India Ltd,0.2857142857
16/11/2023,Atril DS,tablet,"treats depression ,anxiety disorders, panic attacks and OCD.",Anxiolytics,2,Pal Medical Agency,11/24,52.9,28.58,37.78,Laxian Healthcare,0.2858223062
16/11/2023,Asprito 5,tablet,used in the treatment of schizophrenia,Antipsychotics,2,Pal Medical Agency,03/26,135,28.57,96.43,Intas Pharmaceuticals Ltd,0.2857037037
16/11/2023,Aciloc RD,tablet,used to treat gastroesophageal reflux disease (Acid reflux).,Antacid,1,Pal Medical Agency,06/25,168.6,35.04,109.52,Cadila Pharmaceuticals Ltd,0.3504151839
24/11/2023,Follihair,tablet,help strengthen the hair and promote growth.,Nutritional supplement,1,Pal Medical Agency,11/24,371,32.20,251.53,Abbott,0.3220215633
23/11/2023,Otrivin (adult),spray,relieves nasal blockage.,Cold & Allergy Medicine,1,Pal Medical Agency,12/25,106.48,27.66,77.03,Glaxo SmithKline Pharmaceuticals Ltd,0.2765777611
23/11/2023,Omnacortil syrup,syrup,"treatments inflammatory conditions,autoimmune conditions,allergic reactions.",Steroids,2,Pal Medical Agency,11/25,32.92,28.55,23.52,Macleods Pharmaceuticals Pvt Ltd,0.2855407047
23/11/2023,Augmentin DDS,syrup,"antibiotic medicine that helps treat bacterial infections of the ear, nose, throat, chestetc.",Antibiotics,1,Pal Medical Agency,09/24,173,28.57,123.57,Glaxo SmithKline Pharmaceuticals Ltd,0.2857225434
23/11/2023,Mefkind DS,syrup,used to reduce pain and swelling in various conditions.,NSAIDs / Analgesics,2,Pal Medical Agency,05/25,50.57,40.48,30.1,Mankind Pharma Ltd,0.4047854459
23/11/2023,Zentel,tablet,Deworming medicine for intestinal worms.,Anthelmintics,10,Pal Medical Agency,02/26,9.09,28.60,6.49,Glaxo SmithKline Pharmaceuticals Ltd,0.2860286029
23/11/2023,Zentel,syrup,Deworming medicine for intestinal worms.,Anthelmintics,2,Pal Medical Agency,03/26,20.05,28.58,14.32,Glaxo SmithKline Pharmaceuticals Ltd,0.2857855362
23/11/2023,Stayfree XL,sanitary pad,soaks menstrual waste and keeps safe from infection.,Antiseptics,2,Pal Medical Agency,,42,14.29,36,Johnson & Johnson Pvt LTD,0.1428571429
17/11/2023,Betadine 5% sol,antiseptic solution,an antiseptic and disinfectant agent.,Antiseptics,1,Frank Ross Pharmacy,07/25,240.8,16.94,200,Win-Medicare Pvt Ltd,0.1694352159
19/11/2023,Centilin plus,tablet,used in stroke rehabilitation and as a cognitive enhancer.,Cognitive Enhancers,1,Pal Medical Agency,02/25,725,21.60,568.42,Lyceum Life Sciences Pvt Ltd,0.2159724138
19/11/2023,Ecosprin AV,capsule,used to prevent heart attack and stroke.,Antiplatelets,1,Pal Medical Agency,12/24,60.65,17.64,49.95,USV Ltd,0.176422094
09/12/2023,CTD T AM,tablet,used to treat hypertension when a single medication is not effective.,Antihypertensives,1,Pal Medical Agency,03/25,229.15,21.60,179.65,Ipca Laboratories Ltd,0.2160157102
09/12/2023,Storvas CV,capsule,prevents heart attack and stroke.,Antiplatelets,1,Pal Medical Agency,09/24,270,21.60,211.67,Sun Pharmaceutical Industries Ltd,0.216037037
09/12/2023,Met XL,tablet,"treats of heart-related chest pain, heart attack, high blood pressure,migraine etc.",Antihypertensives,1,Pal Medical Agency,03/26,130.81,21.60,102.55,Ajanta Pharma Ltd,0.2160385292
09/12/2023,Obetohep 10,tablet,treat primary biliary cirrhosis.,Gastrointestinal Agents,1,Pal Medical Agency,04/25,396,21.60,310.46,Alkem Laboratories Ltd,0.216010101
09/12/2023,Ranolaz,tablet,decreases the oxygen requirement of the heart by relaxing heart muscle.,Antihypertensives,1,Pal Medical Agency,02/24,274.25,21.60,215.01,Torrent Pharmaceuticals Ltd,0.2160072926
09/12/2023,T-Bact ointment,cream,antibiotic medicine used to treat certain skin infections.,Antibiotics,1,Pal Medical Agency,10/24,113.62,21.60,89.08,Glaxo SmithKline Pharmaceuticals Ltd,0.2159831016
09/12/2023,Mupivate ointment,cream,topical antibiotic used to treat skin infection caused by bacteria.,Antibiotics,2,Pal Medical Agency,09/24,140,77.20,31.92,Alkem Laboratories Ltd,0.772
09/12/2023,Rantac dom,tablet,relieves symptoms of gastroesophageal reflux disease.,Antacid,2,Pal Medical Agency,01/25,67.12,27.55,48.63,J B Chemicals and Pharmaceuticals Ltd,0.275476758
09/12/2023,Alkasol,syrup,treats gout and kidney stones.,Gastrointestinal Agents,1,Pal Medical Agency,03/26,134.23,21.60,105.24,Stadmed Pvt Ltd,0.2159725844
09/12/2023,Kit Kat 6,tablet,deworming medicine for intestinal worms.,Anthelmintics,3,Pal Medical Agency,09/25,21.83,31.47,14.96,Mapra Laboratories Pvt Ltd,0.314704535
09/12/2023,Sitaday M 1000,tablet,controls high blood sugar levels in people with type 2 diabetes mellitus.,Antidiabetic Medications,1,Pal Medical Agency,07/24,163.5,21.60,128.19,Mankind Pharma Ltd,0.2159633028
15/12/2023,Loxof,tablet,"antibiotic, used in the treatment of bacterial infections.",Antibiotics,10,Frank Ross Pharmacy,03/25,53.98,17.00,44.8034,Sun Pharmaceutical Industries Ltd,0.17
15/12/2023,Gemer P2,tablet,helps to control high blood glucose (sugar) levels.,Antidiabetic Medications,10,Frank Ross Pharmacy,07/25,192,18.00,157.44,Sun Pharmaceutical Industries Ltd,0.18
15/12/2023,Montek AB,tablet,prevents and treat asthma and chronic obstructive pulmonary disorder.,Cold & Allergy Medicine,10,Frank Ross Pharmacy,10/25,268,18.00,219.76,Sun Pharmaceutical Industries Ltd,0.18
25/01/2024,Similac 2,dried powder,a spray dried infant milk substitute for newborn baby from 6 to 12 months.,Nutritional supplement,1,Rishav Medical Agency,,546,2.00,535.08,Abbott,0.02
25/01/2024,Horlicks,dried powder,sweet nutritional drink,Nutritional supplement,2,Rishav Medical Agency,,434,1.94,425.565,Hindustan Unilever Limited,0.01943548387
25/01/2024,Nivea soft,facial cream,used to soften skin.,Skin Care,1,Rishav Medical Agency,,52,28.00,37.44,NIVEA India Pvt,0.28
06/01/2024,Zyrcold syp,syrup,treats cough.,Cough Syrup,1,,05/25,96.25,34.06,63.47,Dr Reddy's Laboratories Ltd,0.3405714286
17/11/2023,Augmentin,syrup,Vitamins and Minerals enhance different immune functions and provide strong nerve support.,Nutritional supplement,1,Haque Medicine Supply,12/24,191.8,22.17,149.28,Zuventus Healthcare Ltd,0.2216892596
17/11/2023,A to Z,syrup,Multivitamins help to prevent nutritional deficiencies in the body.,Nutritional supplement,1,Haque Medicine Supply,12/24,99,29.45,69.84,Alkem Laboratories Ltd,0.2945454545
17/11/2023,Yees D,capsule,treat acidity and heartburn.,Antacid,1,Haque Medicine Supply,04/25,128,22.40,99.33,Alkem Laboratories Ltd,0.223984375
17/11/2023,Roles D,capsule,treat acidity and heartburn.,Antacid,1,Haque Medicine Supply,05/25,146,22.40,113.3,Sun Pharmaceutical Industries Ltd,0.2239726027
17/11/2023,Dolonex DT,tablet,"short-term relief of pain, inflammation, and swelling in joints and muscles.",NSAIDs / Analgesics,1,Haque Medicine Supply,12/24,196.22,22.39,152.28,Pfizer Ltd,0.2239323209
17/11/2023,Golbi SR,tablet,used to dissolve certain gallstones and prevent them from forming.,Gastrointestinal Agents,1,Haque Medicine Supply,04/25,779.5,22.40,604.88,Intas Pharmaceuticals Ltd,0.2240153945
17/11/2023,Medrol,tablet,"treats allergic conditions, skin disorders, eye disorders, rheumatic disorder.",Steroids,1,Haque Medicine Supply,12/27,52.59,22.40,40.81,Pfizer Ltd,0.2239969576
17/11/2023,Lizolid,tablet,an antibiotic medicine used in the treatment of severe bacterial infections.,Antibiotics,1,Haque Medicine Supply,07/25,399,22.40,309.63,Integrace Pvt Ltd,0.2239849624
18/12/2023,Pregaba M,capsule,treats neuropathic pain.,Neuropathy Agents,1,Frank Ross Pharmacy,12/24,319.9,18.10,262,Torrent Pharmaceuticals Ltd,0.1809940606
18/12/2023,Maxtra,syrup,"relieves common cold in children, such as blocked nose, runny nose, watery eyes.",Cold & Allergy Medicine,1,Pal Medical Agency,05/25,105.55,33.33,70.37,Zuventus Healthcare Ltd,0.3333017527
18/12/2023,Mefkind DS,syrup,reduces pain and swelling in various conditions.,NSAIDs / Analgesics,1,Pal Medical Agency,05/25,50.57,33.32,33.72,Mankind Pharma Ltd,0.3332015029
18/12/2023,Omnacortil,syrup,"treats Inflammatory conditions,Autoimmune conditions,Severe allergic reactions.",Steroids,1,Pal Medical Agency,11/25,32.92,21.60,25.81,Macleods Pharmaceuticals Pvt Ltd,0.2159781288
18/12/2023,Nasivion (PAED),spray,clears bloked nose in children.,Cold & Allergy Medicine,1,Pal Medical Agency,02/26,88.5,26.09,65.41,Procter & Gamble Health Ltd,0.2609039548
18/12/2023,Moxclav DS,syrup,"an antibiotic medicine that helps treat bacterial infections of the ear, nose, throat, chest etc.",Antibiotics,1,Pal Medical Agency,01/25,155,33.33,103.34,Sun Pharmaceutical Industries Ltd,0.3332903226
18/12/2023,Augmentin DDS,syrup,"an antibiotic medicine that helps treat bacterial infections of the ear, nose, throat, chest etc.",Antibiotics,1,Pal Medical Agency,01/24,173,28.01,124.55,Glaxo SmithKline Pharmaceuticals Ltd,0.2800578035
18/12/2023,Clobeta GM,cream,used to treat various types of skin infections such as fungal infections.,Antifungals,2,Pal Medical Agency,02/25,73.75,85.57,10.64,Laborate Pharmaceuticals India Ltd,0.8557288136
18/12/2023,Dinogest,tablet,treats pelvic pain associated with endometriosis.,NSAIDs / Analgesics,2,Pal Medical Agency,11/24,602.8,21.60,472.6,Koye Pharmaceuticals Pvt ltd,0.2159920372
18/12/2023,Sitaday DM Forte,tablet,control high blood glucose levels.,Antidiabetic Medications,1,Pal Medical Agency,06/25,358.5,21.41,281.75,Mankind Pharma Ltd,0.2140864714
